B0304.7	NM_182260
B0304.8	NM_182233
B0304.9	NM_062402
B0310.1	NM_001129615
B0310.1	NM_001129616
B0310.2	NM_075708
B0310.3	NM_075709
B0310.5	NM_075711
B0310.6	NM_075712
B0331.1	NM_073089
B0331.2	NM_073090
B0334.10	NM_064060
B0334.11	NM_064055
B0334.11	NM_182110
B0334.13	NM_001026723
B0334.15	NM_064057
B0334.1	NM_064052
B0334.2	NM_001026724
B0334.2	NM_001026725
B0334.3	NM_064053
B0334.3	NM_064054
B0334.4	NM_064056
B0334.6	NM_064058
B0334.7	NM_064059
B0334.8	NM_064061
B0336.10	NM_065830
B0336.11	NM_065831
B0336.11	NM_181917
B0336.12	NM_065832
B0336.13	NM_065825
B0336.1	NM_065835
B0336.2	NM_065834
B0336.3	NM_065833
B0336.4	NM_001129200
B0336.4	NM_065828
B0336.5	NM_001038254
B0336.5	NM_001038255
B0336.6	NM_065823
B0336.7	NM_065826
B0336.7	NM_181895
B0336.8	NM_065827
B0336.9	NM_001025949
B0336.9	NM_001025950
B0336.9	NM_001025951
B0336.9	NM_001025952
B0336.9	NM_171132
B0344.2	NM_075897
B0348.1	NM_070727
B0348.2	NM_070726
B0348.4	NM_001026175
B0348.4	NM_001026176
B0348.4	NM_001026177
B0348.5	NM_070721
B0348.6	NM_070722
B0348.6	NM_070723
B0348.6	NM_171920
B0350.2	NM_001026095
B0350.2	NM_001026096
B0350.2	NM_001026097
B0350.2	NM_001026098
B0350.2	NM_068497
B0350.2	NM_068500
B0350.2	NM_171907
B0350.3	NM_068496
B0353.1	NM_001129201
B0353.1	NM_064809
B0361.10	NM_066204
B0361.2	NM_001025954
B0361.2	NM_001025955
B0361.3	NM_066202
B0361.5	NM_001025956
B0361.5	NM_001025957
B0361.6	NM_066201
B0361.7	NM_066203
B0361.8	NM_066205
B0361.9	NM_066207
B0365.1	NM_073866
B0365.3	NM_073868
B0365.5	NM_001026178
B0365.5	NM_001026179
B0365.6	NM_073870
B0365.7	NM_073871
B0379.1	NM_060258
B0379.2	NM_060255
B0379.3	NM_060259
B0379.3	NM_060260
B0379.4	NM_001128939
B0379.4	NM_170917
B0379.4	NM_170918
B0379.6	NM_060263
B0379.7	NM_170916
B0391.10	NM_074474
B0391.11	NM_074477
B0391.12	NM_074481
B0391.3	NM_074482
B0391.4	NM_182411
B0391.5	NM_074480
B0391.6	NM_001026180
B0391.9	NM_074475
B0393.1	NM_065577
B0393.2	NM_065578
B0393.3	NM_065579
B0393.4	NM_065580
B0393.5	NM_065581
B0393.6	NM_065583
B0393.7	NM_065582
B0393.8	NM_065575
B0393.8	NM_065576
B0393.9	NM_001038256
B0393.9	NM_001129202
B0395.1	NM_078221
B0395.2	NM_078222
B0395.3	NM_078223
B0399.1	NM_001047609
B0399.1	NM_001047610
B0399.1	NM_001129366
B0399.1	NM_075399
B0399.1	NM_182382
B0399.1	NM_182383
B0399.2	NM_075398
B0403.2	NM_076787
B0403.3	NM_076788
B0403.4	NM_076789
B0403.5	NM_001029151
B0403.6	NM_001029152
B0410.1	NM_076102
B0410.2	NM_076099
B0410.2	NM_076100
B0410.3	NM_076101
B0412.1	NM_001025958
B0412.1	NM_001025959
B0412.2	NM_064864
B0412.3	NM_064863
B0412.4	NM_064862
B0414.1	NM_059283
B0414.2	NM_059278
B0414.3	NM_059277
B0414.5	NM_059279
B0414.6	NM_059280
B0414.7	NM_059281
B0414.7	NM_059282
B0414.8	NM_001025801
B0414.8	NM_001025802
B0416.1	NM_077168
B0416.2	NM_077167
B0416.3	NM_077164
B0416.4	NM_077163
B0416.5	NM_077161
B0416.5	NM_077162
B0416.6	NM_077165
B0416.7	NM_001047745
B0416.7	NM_001047746
B0432.10	NM_061292
B0432.11	NM_061296
B0432.12	NM_061297
B0432.13	NM_061290
B0432.13	NM_170969
B0432.14	NM_001038237
B0432.1	NM_061298
B0432.2	NM_061295
B0432.3	NM_061294
B0432.4	NM_061293
B0432.5	NM_061287
B0432.5	NM_182103
B0432.6	NM_061288
B0432.7	NM_061289
B0432.8	NM_061290
B0432.9	NM_061291
B0454.10	NM_062031
B0454.1	NM_062035
B0454.2	NM_062033
B0454.3	NM_062032
B0454.4	NM_062030
B0454.5	NM_062028
B0454.6	NM_062027
B0454.7	NM_062026
B0454.8	NM_062029
B0454.9	NM_062034
B0457.1	NM_001026726
B0457.1	NM_063493
B0457.1	NM_182149
B0457.2	NM_063496
B0457.4	NM_063495
B0457.6	NM_001026727
B0462.1	NM_075187
B0462.3	NM_075185
B0462.4	NM_001026181
B0464.1	NM_066688
B0464.2	NM_066689
B0464.3	NM_066687
B0464.4	NM_066686
B0464.5	NM_001025962
B0464.5	NM_001025963
B0464.5	NM_066679
B0464.6	NM_066682
B0464.7	NM_066684
B0464.8	NM_066685
B0464.9	NM_066683
B0478.1	NM_001026099
B0478.1	NM_171371
B0478.3	NM_068673
B0491.1	NM_064025
B0491.2	NM_064020
B0491.3	NM_064021
B0491.4	NM_064022
B0491.5	NM_064023
B0491.6	NM_001129102
B0491.6	NM_064024
B0491.7	NM_064026
B0491.8	NM_001026728
B0491.8	NM_001026729
B0491.8	NM_001026730
B0495.10	NM_063221
B0495.10	NM_182097
B0495.10	NM_182098
B0495.1	NM_063220
B0495.2	NM_063216
B0495.4	NM_063213
B0495.5	NM_063214
B0495.6	NM_063215
B0495.7	NM_063217
B0495.8	NM_171022
B0495.8	NM_171023
B0495.9	NM_063219
B0496.1	NM_068787
B0496.2	NM_068788
B0496.3	NM_068783
B0496.3	NM_068784
B0496.3	NM_068785
B0496.3	NM_182282
B0496.5	NM_068782
B0496.6	NM_068781
B0496.7	NM_068786
B0496.8	NM_068789
B0507.10	NM_072856
B0507.11	NM_001026182
B0507.1	NM_072861
B0507.2	NM_072860
B0507.3	NM_001047611
B0507.3	NM_001047612
B0507.4	NM_072854
B0507.5	NM_072853
B0507.6	NM_072852
B0507.8	NM_072857
B0507.9	NM_072858
B0511.10	NM_060384
B0511.11	NM_060387
B0511.12	NM_060389
B0511.13	NM_060381
B0511.14	NM_060390
B0511.14	NM_182067
B0511.1	NM_060391
B0511.2	NM_060388
B0511.3	NM_060386
B0511.4	NM_060385
B0511.5	NM_060379
B0511.6	NM_060377
B0511.6	NM_060378
B0511.7	NM_060380
B0511.8	NM_060382
B0511.9	NM_170919
B0511.9	NM_171844
B0513.1	NM_070273
B0513.2	NM_001026101
B0513.3	NM_070270
B0513.4	NM_070269
B0513.5	NM_070268
B0513.6	NM_070266
B0513.9	NM_001047439
B0513.9	NM_001047440
B0523.1	NM_066511
B0523.3	NM_066510
B0523.5	NM_066512
B0524.2	NM_065073
B0524.3	NM_065071
B0524.4	NM_065070
B0524.5	NM_065072
B0524.6	NM_065074
B0545.1	NM_067459
B0545.1	NM_067460
B0545.3	NM_067458
B0545.4	NM_067461
B0546.1	NM_067935
B0546.2	NM_067932
B0546.4	NM_067934
B0546.4	NM_182297
B0546.5	NM_067936
B0547.1	NM_068440
B0547.2	NM_068439
B0547.4	NM_068438
B0554.1	NM_070801
B0554.2	NM_070799
B0554.3	NM_070798
B0554.4	NM_070797
B0554.5	NM_070796
B0554.6	NM_070795
B0554.7	NM_070800
B0563.10	NM_001129617
B0563.1	NM_077146
B0563.2	NM_077145
B0563.4	NM_077142
B0563.5	NM_077141
B0563.6	NM_001129618
B0563.6	NM_171750
B0563.6	NM_171967
B0563.7	NM_077143
B0563.8	NM_077147
B0563.9	NM_001047747
B0564.10	NM_001026105
B0564.10	NM_001026106
B0564.11	NM_001026107
B0564.1	NM_001026103
B0564.1	NM_001026104
B0564.2	NM_070121
B0564.3	NM_070122
B0564.4	NM_070123
B0564.6	NM_001047441
B0564.6	NM_001047442
B0564.6	NM_070127
B0564.7	NM_070120
B0564.9	NM_001047441
B0564.9	NM_001047442
B0564.9	NM_070127
BE0003N10.1	NM_064923
BE0003N10.2	NM_064922
BE0003N10.3	NM_064924
BE10.1	NM_067262
BE10.2	NM_067263
BE10.3	NM_067264
BE10.4	NM_067265
BE10.5	NM_001025966
C01A2.1	NM_060958
C01A2.2	NM_001136276
C01A2.2	NM_060957
C01A2.3	NM_060955
C01A2.4	NM_060956
C01A2.5	NM_060954
C01A2.6	NM_060953
C01A2.7	NM_170932
C01A2.9	NM_001128940
C01B10.10	NM_068620
C01B10.11	NM_001026109
C01B10.3	NM_068619
C01B10.4	NM_068621
C01B10.5	NM_001026111
C01B10.5	NM_001026112
C01B10.5	NM_001026113
C01B10.5	NM_068626
C01B10.6	NM_171366
C01B10.6	NM_171910
C01B10.8	NM_068623
C01B10.9	NM_068622
C01B12.1	NM_061234
C01B12.2	NM_061233
C01B12.3	NM_061231
C01B12.4	NM_061229
C01B12.5	NM_061230
C01B12.8	NM_061235
C01B4.10	NM_071259
C01B4.10	NM_071286
C01B4.1	NM_071288
C01B4.3	NM_071258
C01B4.3	NM_071285
C01B4.5	NM_071284
C01B4.6	NM_001047724
C01B4.6	NM_071283
C01B4.7	NM_071256
C01B4.7	NM_071282
C01B4.8	NM_071255
C01B4.8	NM_071281
C01B4.9	NM_071280
C01B7.1	NM_171493
C01B7.1	NM_171494
C01B7.3	NM_072862
C01B7.4	NM_072864
C01B7.5	NM_072865
C01B7.6	NM_072866
C01B7.7	NM_072867
C01B7.7	NM_072881
C01B9.1	NM_001129103
C01B9.1	NM_001129104
C01C10.1	NM_076856
C01C10.2	NM_001029155
C01C10.2	NM_001029156
C01C10.3	NM_076859
C01C10.4	NM_076857
C01C4.1	NM_076239
C01C4.2	NM_076238
C01C4.3	NM_171655
C01C4.3	NM_171656
C01C7.1	NM_070017
C01F1.1	NM_062355
C01F1.2	NM_062354
C01F1.3	NM_001047262
C01F1.3	NM_001047263
C01F1.4	NM_062350
C01F1.5	NM_062351
C01F1.6	NM_062352
C01F4.2	NM_059064
C01F4.2	NM_059065
C01F6.1	NM_069183
C01F6.2	NM_069184
C01F6.4	NM_069186
C01F6.5	NM_069187
C01F6.6	NM_001047443
C01F6.6	NM_001047444
C01F6.6	NM_001047445
C01F6.6	NM_171410
C01F6.6	NM_171411
C01F6.8	NM_001026116
C01F6.8	NM_001026117
C01F6.9	NM_069182
C01G10.10	NM_074312
C01G10.11	NM_074311
C01G10.11	NM_171553
C01G10.12	NM_074310
C01G10.14	NM_074322
C01G10.15	NM_001026184
C01G10.16	NM_001026185
C01G10.17	NM_001047613
C01G10.18	NM_001129367
C01G10.1	NM_074321
C01G10.2	NM_074320
C01G10.3	NM_074319
C01G10.4	NM_074318
C01G10.5	NM_074317
C01G10.6	NM_074316
C01G10.7	NM_074315
C01G10.8	NM_074314
C01G10.9	NM_074313
C01G12.10	NM_001026732
C01G12.11	NM_001026733
C01G12.13	NM_001026734
C01G12.1	NM_064627
C01G12.2	NM_064628
C01G12.3	NM_064629
C01G12.5	NM_064630
C01G12.6	NM_064631
C01G12.7	NM_064632
C01G12.8	NM_064633
C01G12.9	NM_001026735
C01G5.2	NM_068593
C01G5.3	NM_068595
C01G5.4	NM_068594
C01G5.5	NM_068592
C01G5.6	NM_068591
C01G5.7	NM_068589
C01G5.8	NM_068596
C01G5.9	NM_068590
C01G6.1	NM_063571
C01G6.1	NM_063572
C01G6.2	NM_063573
C01G6.3	NM_063574
C01G6.4	NM_063575
C01G6.5	NM_063576
C01G6.6	NM_063577
C01G6.6	NM_182118
C01G6.7	NM_063578
C01G6.8	NM_001026736
C01G6.8	NM_001026737
C01G6.8	NM_001038238
C01G6.9	NM_063579
C01G8.1	NM_001128941
C01G8.1	NM_059154
C01G8.2	NM_059155
C01G8.3	NM_059156
C01G8.4	NM_059157
C01G8.5	NM_059158
C01G8.5	NM_059159
C01G8.6	NM_059160
C01G8.9	NM_059161
C01G8.9	NM_182023
C01H6.1	NM_059634
C01H6.2	NM_059635
C01H6.3	NM_059636
C01H6.4	NM_059637
C01H6.5	NM_001025804
C01H6.5	NM_001025805
C01H6.5	NM_001025806
C01H6.5	NM_001037880
C01H6.5	NM_001037881
C01H6.5	NM_001037882
C01H6.6	NM_059639
C01H6.7	NM_001128942
C01H6.7	NM_059640
C01H6.8	NM_001128943
C01H6.8	NM_001128944
C01H6.9	NM_059642
C02A12.10	NM_001026186
C02A12.1	NM_071567
C02A12.2	NM_071568
C02A12.3	NM_071569
C02A12.4	NM_071571
C02A12.5	NM_071572
C02A12.6	NM_071573
C02A12.8	NM_001026189
C02A12.9	NM_001026190
C02B10.1	NM_068319
C02B10.2	NM_068320
C02B10.3	NM_068322
C02B10.4	NM_068321
C02B10.5	NM_068318
C02B10.6	NM_068317
C02B4.1	NM_077715
C02B4.2	NM_077714
C02B4.3	NM_077713
C02B4.4	NM_001129619
C02B8.1	NM_076972
C02B8.2	NM_076971
C02B8.3	NM_076970
C02B8.4	NM_076966
C02B8.5	NM_076967
C02B8.6	NM_076968
C02B8.7	NM_076969
C02C2.1	NM_066310
C02C2.3	NM_066309
C02C2.4	NM_066308
C02C2.5	NM_066311
C02C6.1	NM_001029160
C02C6.1	NM_001029161
C02C6.2	NM_001029162
C02C6.2	NM_001029163
C02C6.3	NM_001047748
C02C6.3	NM_001047749
C02C6.3	NM_001129620
C02C6.3	NM_001129621
C02D4.1	NM_078133
C02D4.2	NM_001029164
C02D4.2	NM_001029165
C02D4.2	NM_001029166
C02D4.2	NM_001029167
C02D4.2	NM_001029168
C02D4.2	NM_001029169
C02D5.1	NM_066484
C02D5.2	NM_001047374
C02D5.2	NM_001047375
C02D5.3	NM_001047376
C02D5.3	NM_001047378
C02D5.4	NM_001047377
C02E11.1	NM_070966
C02E11.1	NM_182391
C02E7.10	NM_071926
C02E7.13	NM_071928
C02E7.1	NM_071927
C02E7.2	NM_071924
C02E7.3	NM_071923
C02E7.4	NM_071922
C02E7.5	NM_071921
C02E7.6	NM_071919
C02E7.7	NM_071918
C02E7.8	NM_071920
C02E7.9	NM_071925
C02F12.10	NM_001129622
C02F12.1	NM_001136448
C02F12.1	NM_076233
C02F12.3	NM_076230
C02F12.4	NM_076232
C02F12.5	NM_076231
C02F12.7	NM_076234
C02F12.8	NM_076235
C02F12.9	NM_076236
C02F4.1	NM_069537
C02F4.2	NM_001026121
C02F4.2	NM_001026122
C02F4.2	NM_001083189
C02F4.4	NM_069540
C02F4.5	NM_069541
C02F5.10	NM_066408
C02F5.11	NM_066402
C02F5.12	NM_066404
C02F5.13	NM_001025967
C02F5.14	NM_001038257
C02F5.1	NM_066410
C02F5.2	NM_066409
C02F5.3	NM_066407
C02F5.4	NM_066406
C02F5.5	NM_066401
C02F5.6	NM_171212
C02F5.6	NM_171213
C02F5.7	NM_171210
C02F5.7	NM_171211
C02F5.8	NM_066403
C02F5.9	NM_066405
C02G6.1	NM_072131
C02G6.2	NM_072130
C02G6.3	NM_001047614
C02H6.1	NM_072490
C02H6.2	NM_072491
C02H7.1	NM_075748
C02H7.2	NM_075746
C02H7.3	NM_001029171
C02H7.3	NM_171618
C03A3.1	NM_001029172
C03A3.1	NM_001029173
C03A3.2	NM_077478
C03A3.3	NM_077479
C03A7.10	NM_071986
C03A7.11	NM_071987
C03A7.13	NM_071991
C03A7.14	NM_071992
C03A7.2	NM_071989
C03A7.3	NM_071984
C03A7.4	NM_071981
C03A7.5	NM_071979
C03A7.6	NM_071980
C03A7.7	NM_071982
C03A7.8	NM_071983
C03A7.9	NM_071985
C03B1.10	NM_076665
C03B1.12	NM_076671
C03B1.13	NM_076660
C03B1.14	NM_076666
C03B1.1	NM_076670
C03B1.2	NM_076669
C03B1.3	NM_076668
C03B1.4	NM_076667
C03B1.5	NM_076664
C03B1.6	NM_001136449
C03B1.6	NM_076663
C03B1.7	NM_076661
C03B1.9	NM_076662
C03B8.2	NM_066279
C03B8.3	NM_066278
C03B8.3	NM_066280
C03B8.4	NM_066277
C03C10.1	NM_065417
C03C10.2	NM_065419
C03C10.3	NM_065420
C03C10.4	NM_065421
C03C10.5	NM_065418
C03C10.7	NM_001025969
C03C11.1	NM_060244
C03C11.2	NM_060245
C03D6.1	NM_060170
C03D6.3	NM_001025808
C03D6.3	NM_001025809
C03D6.4	NM_060167
C03D6.5	NM_060166
C03D6.6	NM_060165
C03D6.8	NM_060171
C03E10.1	NM_073466
C03E10.3	NM_073464
C03E10.4	NM_073463
C03E10.5	NM_073462
C03E10.6	NM_073461
C03F11.1	NM_076516
C03F11.2	NM_076517
C03F11.3	NM_076518
C03F11.4	NM_076519
C03G5.10	NM_001029176
C03G5.11	NM_001029177
C03G5.12	NM_001029178
C03G5.13	NM_001029179
C03G5.13	NM_001029182
C03G5.1	NM_077045
C03G5.2	NM_171744
C03G5.7	NM_077044
C03G5.8	NM_001029181
C03G5.9	NM_001029179
C03G5.9	NM_001029182
C03G6.10	NM_072470
C03G6.11	NM_072474
C03G6.12	NM_072473
C03G6.13	NM_072476
C03G6.14	NM_072478
C03G6.15	NM_072479
C03G6.16	NM_072486
C03G6.17	NM_072487
C03G6.18	NM_072488
C03G6.19	NM_072489
C03G6.2	NM_072484
C03G6.3	NM_072483
C03G6.5	NM_072480
C03G6.6	NM_072477
C03G6.7	NM_072475
